Marca de Tiempo, Uso de Memoria(%)
10:29:50,56.8
10:29:50,56.8
10:29:51,56.9
10:29:51,56.9
10:29:52,56.9
10:29:52,56.9
10:29:53,56.9
10:29:53,56.9
10:29:54,56.9
10:29:54,56.9
10:29:55,56.9
10:29:55,56.9
10:29:56,56.9
10:29:56,56.9
10:29:57,56.9
10:29:57,56.9
10:29:58,56.9
10:29:58,56.9
10:29:59,56.9
10:29:59,56.9
10:30:00,56.9
10:30:00,56.9
10:30:01,56.9
10:30:01,56.9
10:30:02,56.9
10:30:02,56.9
10:30:03,56.9
10:30:03,56.9
10:30:04,56.9
10:30:04,56.9
10:30:05,56.9
10:30:05,56.9
10:30:06,56.9
10:30:06,56.9
10:30:07,56.9
10:30:07,56.9
10:30:08,57.0
10:30:08,57.0
10:30:09,57.0
10:30:09,57.0
10:30:10,56.9
10:30:10,56.9
10:30:11,56.8
10:30:11,56.8
10:30:12,56.9
10:30:12,56.9
10:30:13,56.9
10:30:13,56.9
10:30:14,56.8
10:30:14,56.8
10:30:15,56.8
10:30:15,56.8
10:30:16,56.8
10:30:16,56.8
10:30:17,56.8
10:30:17,56.8
10:30:18,56.9
10:30:18,56.9
10:30:19,56.9
10:30:19,56.9
10:30:20,56.9
10:30:20,56.9
10:30:21,56.8
10:30:21,56.8
10:30:22,56.8
10:30:22,56.8
10:30:23,56.8
10:30:23,56.8
10:30:24,56.8
10:30:24,56.8
10:30:25,56.8
10:30:25,56.8
10:30:26,56.8
10:30:26,56.8
10:30:27,56.8
10:30:27,56.8
10:30:28,56.8
10:30:28,56.8
10:30:29,56.8
10:30:29,56.8
10:30:30,57.4
10:30:30,57.4
10:30:31,57.3
10:30:31,57.3
10:30:32,57.5
10:30:32,57.5
10:30:33,57.5
10:30:33,57.5
10:30:34,57.5
10:30:34,57.5
10:30:35,57.5
10:30:35,57.5
10:30:36,57.5
10:30:36,57.5
10:30:37,57.5
10:30:37,57.5
10:30:38,57.3
10:30:38,57.3
10:30:39,57.4
10:30:39,57.4
10:30:40,57.4
10:30:40,57.4
10:30:41,57.3
10:30:41,57.3
10:30:42,57.2
10:30:42,57.2
10:30:43,57.3
10:30:43,57.3
10:30:44,57.3
10:30:44,57.3
10:30:45,57.2
10:30:45,57.2
10:30:46,57.2
10:30:46,57.2
10:30:47,57.1
10:30:47,57.1
10:30:48,57.5
10:30:48,57.5
10:30:49,57.3
10:30:49,57.3
10:30:50,57.5
10:30:50,57.5
10:30:51,57.5
10:30:51,57.5
10:30:52,57.5
10:30:52,57.5
10:30:53,57.5
10:30:53,57.5
10:30:54,57.7
10:30:54,57.7
10:30:55,57.7
10:30:55,57.7
10:30:56,57.5
10:30:56,57.5
10:30:57,57.5
10:30:57,57.5
10:30:58,57.5
10:30:58,57.5
10:30:59,57.5
10:30:59,57.5
10:31:00,57.3
10:31:00,57.3
10:31:01,57.3
10:31:01,57.3
10:31:02,57.3
