Marca de Tiempo, Uso de Memoria(%)
10:31:02,57.3
10:31:03,57.3
10:31:03,57.3
10:31:04,57.3
10:31:04,57.3
10:31:05,57.3
10:31:05,57.3
10:31:06,57.3
10:31:06,57.3
10:31:07,57.3
10:31:07,57.3
10:31:08,57.3
10:31:08,57.3
10:31:09,57.3
10:31:09,57.3
10:31:10,57.3
10:31:10,57.3
10:31:11,57.3
10:31:11,57.3
10:31:12,57.3
10:31:12,57.3
10:31:13,57.3
10:31:13,57.3
10:31:14,57.3
10:31:14,57.3
10:31:15,57.3
10:31:15,57.3
10:31:16,57.3
10:31:16,57.3
10:31:17,57.3
10:31:17,57.3
10:31:18,57.3
10:31:18,57.3
10:31:19,57.3
10:31:19,57.3
10:31:20,57.3
10:31:20,57.3
10:31:21,57.3
10:31:21,57.3
10:31:22,57.3
10:31:22,57.3
10:31:23,57.3
10:31:23,57.3
10:31:24,57.3
10:31:24,57.3
10:31:25,57.2
10:31:25,57.2
10:31:26,57.2
10:31:26,57.2
10:31:27,57.2
10:31:27,57.2
10:31:28,57.2
10:31:28,57.2
10:31:29,57.2
10:31:29,57.2
10:31:30,57.2
10:31:30,57.2
10:31:31,57.2
10:31:31,57.2
10:31:32,57.1
10:31:32,57.1
10:31:33,57.1
10:31:33,57.1
10:31:34,57.1
10:31:34,57.1
10:31:35,57.1
10:31:35,57.1
10:31:36,57.1
10:31:36,57.1
10:31:37,57.1
10:31:37,57.1
10:31:38,57.1
10:31:38,57.1
10:31:39,57.1
10:31:39,57.1
10:31:40,57.1
10:31:40,57.1
10:31:41,57.1
10:31:41,57.1
10:31:42,57.1
10:31:42,57.1
10:31:43,57.1
10:31:43,57.1
10:31:44,57.1
10:31:44,57.1
10:31:45,57.1
10:31:45,57.1
10:31:46,57.1
10:31:46,57.1
10:31:47,57.1
10:31:47,57.1
10:31:48,57.1
10:31:48,57.1
10:31:49,57.1
10:31:49,57.1
10:31:50,57.1
10:31:50,57.1
10:31:51,57.1
10:31:51,57.1
10:31:52,57.1
10:31:52,57.1
10:31:53,57.1
10:31:53,57.1
10:31:54,57.1
10:31:54,57.1
10:31:55,57.1
10:31:55,57.1
10:31:56,57.1
10:31:56,57.1
10:31:57,57.1
10:31:57,57.1
10:31:58,57.1
10:31:58,57.1
10:31:59,57.1
10:31:59,57.1
10:32:00,57.1
10:32:00,57.1
10:32:01,57.1
10:32:01,57.1
10:32:02,57.1
10:32:02,57.1
10:32:03,57.1
10:32:03,57.1
10:32:04,57.1
10:32:04,57.1
10:32:05,57.1
10:32:05,57.1
10:32:06,57.1
10:32:06,57.1
10:32:07,57.1
10:32:07,57.1
10:32:08,57.1
10:32:08,57.1
10:32:09,57.1
10:32:09,57.1
10:32:10,57.1
10:32:10,57.1
10:32:11,57.1
10:32:11,57.1
10:32:12,57.1
10:32:12,57.1
10:32:13,57.1
10:32:13,57.1
10:32:14,57.1
10:32:14,57.1
10:32:15,57.1
10:32:15,57.1
10:32:16,57.1
10:32:16,57.1
10:32:17,57.1
10:32:17,57.1
10:32:18,57.1
10:32:18,57.1
10:32:19,57.1
10:32:19,57.1
10:32:20,57.1
10:32:20,57.1
10:32:21,57.1
10:32:21,57.1
10:32:22,57.1
10:32:22,57.1
10:32:23,57.1
10:32:23,57.1
10:32:24,57.1
10:32:24,57.1
10:32:25,57.1
10:32:25,57.1
10:32:26,57.1
10:32:26,57.1
10:32:27,57.1
10:32:27,57.1
10:32:28,57.1
10:32:28,57.1
10:32:29,57.1
10:32:29,57.1
10:32:30,57.1
10:32:30,57.1
10:32:31,57.1
10:32:31,57.1
10:32:32,57.1
10:32:32,57.1
10:32:33,57.1
10:32:33,57.1
10:32:34,57.1
10:32:34,57.1
10:32:35,57.1
10:32:35,57.1
10:32:36,57.1
10:32:36,57.1
10:32:37,57.1
10:32:37,57.1
10:32:38,57.1
10:32:38,57.1
10:32:39,57.1
10:32:39,57.1
10:32:40,57.1
10:32:40,57.1
10:32:41,57.1
10:32:41,57.1
10:32:42,57.1
10:32:42,57.1
10:32:43,57.1
10:32:43,57.1
10:32:44,57.1
10:32:44,57.1
10:32:45,57.1
10:32:45,57.1
10:32:46,57.1
10:32:46,57.1
10:32:47,57.1
10:32:47,57.1
10:32:48,57.1
10:32:48,57.1
10:32:49,57.1
10:32:50,57.1
10:32:51,57.1
10:32:52,57.1
10:32:53,57.1
10:32:54,57.1
10:32:55,57.1
10:32:56,57.1
10:32:57,57.1
10:32:58,57.1
10:32:59,57.1
10:33:00,57.1
10:33:01,57.1
10:33:02,57.1
10:33:03,57.1
10:33:04,57.1
10:33:05,57.1
10:33:06,57.1
10:33:07,57.1
10:33:08,57.1
10:33:09,57.1
10:33:10,57.1
10:33:11,57.1
10:33:12,57.1
10:33:13,57.1
10:33:14,57.1
10:33:15,57.1
10:33:16,57.1
10:33:17,57.1
10:33:18,57.1
10:33:19,57.1
10:33:20,57.1
10:33:21,57.1
10:33:22,57.1
10:33:23,57.2
10:33:24,57.2
10:33:25,57.2
10:33:26,57.2
10:33:27,57.2
10:33:28,57.2
10:33:29,57.2
10:33:30,57.2
10:33:31,57.2
10:33:32,57.2
10:33:33,57.2
10:33:34,57.2
10:33:35,57.2
10:33:36,57.2
10:33:37,57.2
10:33:38,57.2
10:33:39,57.2
10:33:40,57.2
10:33:41,57.2
10:33:42,57.2
10:33:43,57.2
10:33:44,57.2
10:33:45,57.2
10:33:46,57.2
10:33:47,57.2
10:33:48,57.2
10:33:49,57.2
10:33:50,57.2
10:33:51,57.2
10:33:52,57.2
10:33:53,57.1
10:33:54,57.1
10:33:55,57.1
10:33:56,57.1
10:33:57,57.1
10:33:58,57.1
10:33:59,57.1
10:34:00,57.0
10:34:01,57.1
10:34:02,57.1
10:34:03,57.1
10:34:04,57.1
10:34:05,57.1
10:34:06,57.1
10:34:07,57.1
10:34:08,57.1
10:34:09,57.1
10:34:10,57.1
10:34:11,57.1
10:34:12,57.1
10:34:13,57.1
10:34:14,57.1
10:34:15,57.1
10:34:16,57.1
10:34:17,57.1
10:34:18,57.1
10:34:19,57.1
10:34:20,57.1
10:34:21,57.1
10:34:22,57.1
10:34:23,57.1
10:34:24,57.1
10:34:25,57.1
10:34:26,57.1
10:34:27,57.1
10:34:28,57.1
10:34:29,57.1
10:34:30,57.0
10:34:31,57.1
10:34:32,57.1
10:34:33,57.1
10:34:34,57.1
10:34:35,57.1
10:34:36,57.1
10:34:37,57.1
10:34:38,57.1
10:34:39,57.1
10:34:40,57.1
10:34:41,57.1
10:34:42,57.1
10:34:43,57.1
10:34:44,57.2
10:34:45,57.2
10:34:46,57.2
10:34:47,57.5
10:34:48,57.8
10:34:49,57.9
